Date,MANA,POLKADOT,CARDANO,TRON,RIPLE,SAND,POLYGON,BITCOIN
2020-01-01,0.0314829982817173,,0.03345799818634987,0.013249999843537807,0.19266700744628906,,0.014961999841034412,7200.17431640625
2020-01-02,0.032639000564813614,,0.03275100141763687,0.01286999974399805,0.1880429983139038,,0.014650999568402767,6985.47021484375
2020-01-03,0.03280499950051308,,0.03418000042438507,0.013434999622404575,0.19352099299430847,,0.015193999744951725,7344.88427734375
2020-01-04,0.035836998373270035,,0.034595001488924026,0.013520999811589718,0.19435499608516693,,0.014960999600589275,7410.65673828125
2020-01-05,0.036458998918533325,,0.034720998257398605,0.013623000122606754,0.1955370008945465,,0.014914000406861305,7411.3173828125
2020-01-06,0.03698800131678581,,0.037271998822689056,0.014547999948263168,0.22150999307632446,,0.01558700017631054,7769.21923828125
2020-01-07,0.03366599977016449,,0.037046998739242554,0.014372999779880047,0.21391700208187103,,0.01510000042617321,8163.6923828125
2020-01-08,0.03411199897527695,,0.036435000598430634,0.014069000259041786,0.20902599394321442,,0.01500600017607212,8079.86279296875
2020-01-09,0.03358300030231476,,0.03635900095105171,0.014062999747693539,0.20489899814128876,,0.014698999933898449,7879.0712890625
2020-01-10,0.031831998378038406,,0.03687399998307228,0.014613999985158443,0.21230599284172058,,0.014852999709546566,8166.55419921875
2020-01-11,0.03143899887800217,,0.03682500123977661,0.014613999985158443,0.21185100078582764,,0.014816000126302242,8037.53759765625
2020-01-12,0.03268299996852875,,0.037689998745918274,0.014976000413298607,0.21563300490379333,,0.015008999966084957,8192.494140625
2020-01-13,0.03183700144290924,,0.036965999752283096,0.014705999754369259,0.21261699497699738,,0.01553099974989891,8144.1943359375
2020-01-14,0.03288700059056282,,0.04165999963879585,0.016720000654459,0.23468700051307678,,0.015730999410152435,8827.7646484375
2020-01-15,0.03541399911046028,,0.04255300015211105,0.017284000292420387,0.23289500176906586,,0.016367999836802483,8807.0107421875
2020-01-16,0.03620700165629387,,0.041391000151634216,0.017118999734520912,0.2285739928483963,,0.01607700064778328,8723.7861328125
2020-01-17,0.03822600096464157,,0.04497800022363663,0.017666000872850418,0.23877599835395813,,0.018818000331521034,8929.0380859375
2020-01-18,0.037292998284101486,,0.04485100135207176,0.017715999856591225,0.24328599870204926,,0.01751900091767311,8942.80859375
2020-01-19,0.03556500002741814,,0.041978999972343445,0.016620000824332237,0.23558500409126282,,0.01639699935913086,8706.2451171875
2020-01-20,0.03487800061702728,,0.043873000890016556,0.01662600040435791,0.2332960069179535,,0.016899000853300095,8657.642578125
2020-01-21,0.03422800078988075,,0.04598899930715561,0.017308000475168228,0.23716600239276886,,0.01716100051999092,8745.89453125
2020-01-22,0.03444400057196617,,0.04565399885177612,0.0173530001193285,0.23605599999427795,,0.017086999490857124,8680.8759765625
2020-01-23,0.03352300077676773,,0.043333999812603,0.016253000125288963,0.2261040061712265,,0.01594099961221218,8406.515625
2020-01-24,0.033619001507759094,,0.04500399902462959,0.01641100086271763,0.22304099798202515,,0.0162540003657341,8445.4345703125
2020-01-25,0.033695999532938004,,0.043248001486063004,0.01619900017976761,0.220427006483078,,0.01606599986553192,8367.84765625
2020-01-26,0.03520600125193596,,0.04458099976181984,0.016804000362753868,0.2306859940290451,,0.016457000747323036,8596.830078125
2020-01-27,0.0351720005273819,,0.047912001609802246,0.017134999856352806,0.231222003698349,,0.016909999772906303,8909.8193359375
2020-01-28,0.03570299968123436,,0.05285700038075447,0.01861399970948696,0.23848800361156464,,0.017255999147892,9358.58984375
2020-01-29,0.036281000822782516,,0.05351400002837181,0.018682999536395073,0.23573000729084015,,0.017109999433159828,9316.6298828125
2020-01-30,0.03620000183582306,,0.0560699999332428,0.019499000161886215,0.24364200234413147,,0.018644999712705612,9508.9931640625
2020-01-31,0.03534200042486191,,0.05379299819469452,0.018681999295949936,0.23923300206661224,,0.017928000539541245,9350.529296875
2020-02-01,0.036044999957084656,,0.056092001497745514,0.019063999876379967,0.24145500361919403,,0.018331000581383705,9392.875
2020-02-02,0.037671998143196106,,0.055768001824617386,0.01913600042462349,0.25073400139808655,,0.01911499910056591,9344.365234375
2020-02-03,0.03918499872088432,,0.05697900056838989,0.019217999652028084,0.254626989364624,,0.022086000069975853,9293.521484375
2020-02-04,0.0422619991004467,,0.05599600076675415,0.01926100067794323,0.26680800318717957,,0.021128999069333076,9180.962890625
2020-02-05,0.043108999729156494,,0.059230998158454895,0.02077599987387657,0.2774679958820343,,0.021432999521493912,9613.423828125
2020-02-06,0.04724299907684326,,0.05975700169801712,0.02253499999642372,0.2822139859199524,,0.024459000676870346,9729.8017578125
2020-02-07,0.050836000591516495,,0.059790000319480896,0.022060999646782875,0.2792840003967285,,0.022962000221014023,9795.943359375
2020-02-08,0.05654200166463852,,0.05994400009512901,0.021851999685168266,0.2772429883480072,,0.02115499973297119,9865.119140625
2020-02-09,0.06492800265550613,,0.0618089996278286,0.022034000605344772,0.28245699405670166,,0.02191999927163124,10116.673828125
2020-02-10,0.060270000249147415,,0.06039400026202202,0.02222900092601776,0.2740800082683563,,0.021608000621199608,9856.611328125
2020-02-11,0.06401699781417847,,0.06322800368070602,0.022679999470710754,0.2801409959793091,,0.022797999903559685,10208.236328125
2020-02-12,0.062160998582839966,,0.06837300211191177,0.024015000090003014,0.3043929934501648,,0.022897999733686447,10326.0546875
2020-02-13,0.06036299839615822,,0.0685809999704361,0.023858999833464622,0.3267059922218323,,0.022252000868320465,10214.3798828125
